Year,Christmas,Easter
2000,2000-12-25,2000-04-23
2001,2001-12-25,2001-04-15
2002,2002-12-25,2002-03-31
2003,2003-12-25,2003-04-20
2004,2004-12-25,2004-04-11
2005,2005-12-25,2005-03-27
2006,2006-12-25,2006-04-16
2007,2007-12-25,2007-04-08
2008,2008-12-25,2008-03-23
2009,2009-12-25,2009-04-12
2010,2010-12-25,2010-04-04
2011,2011-12-25,2011-04-24
2012,2012-12-25,2012-04-08
2013,2013-12-25,2013-03-31
2014,2014-12-25,2014-04-20
2015,2015-12-25,2015-04-05
2016,2016-12-25,2016-03-27
2017,2017-12-25,2017-04-16
2018,2018-12-25,2018-04-01
2019,2019-12-25,2019-04-21
2020,2020-12-25,2020-04-12
2021,2021-12-25,2021-04-04
2022,2022-12-25,2022-04-17
2023,2023-12-25,2023-04-09
2024,2024-12-25,2024-03-31
2025,2025-12-25,2025-04-20
2026,2026-12-25,2026-04-05
2027,2027-12-25,2027-03-28
2028,2028-12-25,2028-04-16
2029,2029-12-25,2029-04-01
2030,2030-12-25,2030-04-21
2031,2031-12-25,2031-04-13
2032,2032-12-25,2032-03-28
2033,2033-12-25,2033-04-17
2034,2034-12-25,2034-04-09
2035,2035-12-25,2035-03-25
